ZIPCODE,ZC_LATITUDE,ZC_LONGITUDE,AUTONOMOUS_COMMUNITY,AUTONOMOUS_COMMUNITY_NK,PROVINCE
06176,38.55,-6.65,Extremadura,EX,Badajoz
06175,38.4833,-6.6833,Extremadura,EX,Badajoz
06174,38.5167,-6.7833,Extremadura,EX,Badajoz
06173,38.5833,-6.75,Extremadura,EX,Badajoz
06172,38.6167,-6.8,Extremadura,EX,Badajoz
06171,38.6167,-6.8167,Extremadura,EX,Badajoz
06170,38.7167,-6.8167,Extremadura,EX,Badajoz
06160,38.5167,-6.85,Extremadura,EX,Badajoz
06150,38.6353,-6.8706,Extremadura,EX,Badajoz
06140,38.8833,-6.7667,Extremadura,EX,Badajoz
06134,38.2333,-7.1167,Extremadura,EX,Badajoz
06133,38.5333,-7.0167,Extremadura,EX,Badajoz
06132,38.45,-6.9667,Extremadura,EX,Badajoz
06131,38.5167,-7.0667,Extremadura,EX,Badajoz
06130,38.6667,-6.9833,Extremadura,EX,Badajoz
06129,38.3333,-6.95,Extremadura,EX,Badajoz
06120,38.2667,-6.9167,Extremadura,EX,Badajoz
06110,38.3833,-7.1667,Extremadura,EX,Badajoz
06109,38.6367,-7.1667,Extremadura,EX,Badajoz
06108,38.6333,-7.0833,Extremadura,EX,Badajoz
06107,38.7167,-7.2167,Extremadura,EX,Badajoz
06106,38.6333,-7.15,Extremadura,EX,Badajoz
06105,38.5167,-7.2833,Extremadura,EX,Badajoz
06100,38.6833,-7.1,Extremadura,EX,Badajoz
06080,38.8833,-6.9667,Extremadura,EX,Badajoz
06071,38.8833,-6.9667,Extremadura,EX,Badajoz
06070,38.8833,-6.9667,Extremadura,EX,Badajoz
06050,38.8833,-6.9667,Extremadura,EX,Badajoz
06012,38.8833,-6.9667,Extremadura,EX,Badajoz
06011,38.8799,-6.9695,Extremadura,EX,Badajoz
06010,38.8826,-6.8816,Extremadura,EX,Badajoz
06009,38.8833,-6.9667,Extremadura,EX,Badajoz
06008,38.8833,-6.9667,Extremadura,EX,Badajoz
06007,38.8833,-6.9667,Extremadura,EX,Badajoz
06006,38.8826,-6.9818,Extremadura,EX,Badajoz
06005,38.8833,-6.9667,Extremadura,EX,Badajoz
06004,38.8833,-6.9667,Extremadura,EX,Badajoz
06003,38.8833,-6.9667,Extremadura,EX,Badajoz
06002,38.8808,-6.9402,Extremadura,EX,Badajoz
06001,38.8766,-6.9684,Extremadura,EX,Badajoz
